AREA,FORECAST,DATE,TIME,Count
Bishan,Fair (Night),2024-03-15,00:59:47,13
Boon Lay,Fair (Night),2024-03-15,00:59:47,2
Bukit Batok,Fair (Night),2024-03-15,00:59:47,30
Bukit Merah,Fair (Night),2024-03-15,00:59:47,22
Bukit Panjang,Fair (Night),2024-03-15,00:59:47,16
Bukit Timah,Fair (Night),2024-03-15,00:59:47,17
Central Water Catchment,Fair (Night),2024-03-15,00:59:47,1
Changi,Fair (Night),2024-03-15,00:59:47,173
Choa Chu Kang,Fair (Night),2024-03-15,00:59:47,20
City,Fair (Night),2024-03-15,00:59:47,83
Clementi,Fair (Night),2024-03-15,00:59:47,22
Geylang,Fair (Night),2024-03-15,00:59:47,49
Hougang,Fair (Night),2024-03-15,00:59:47,20
Jalan Bahar,Fair (Night),2024-03-15,00:59:47,2
Jurong East,Fair (Night),2024-03-15,00:59:47,15
Jurong West,Fair (Night),2024-03-15,00:59:47,22
Kallang,Fair (Night),2024-03-15,00:59:47,50
Mandai,Fair (Night),2024-03-15,00:59:47,9
Marine Parade,Fair (Night),2024-03-15,00:59:47,9
Novena,Fair (Night),2024-03-15,00:59:47,22
Pasir Ris,Fair (Night),2024-03-15,00:59:47,25
Paya Lebar,Fair (Night),2024-03-15,00:59:47,12
Pioneer,Fair (Night),2024-03-15,00:59:47,9
Pulau Ubin,Fair (Night),2024-03-15,00:59:47,1
Punggol,Fair (Night),2024-03-15,00:59:47,23
Queenstown,Fair (Night),2024-03-15,00:59:47,29
Seletar,Fair (Night),2024-03-15,00:59:47,15
Sembawang,Fair (Night),2024-03-15,00:59:47,33
Sengkang,Fair (Night),2024-03-15,00:59:47,29
Sentosa,Fair (Night),2024-03-15,00:59:47,2
Serangoon,Fair (Night),2024-03-15,00:59:47,22
Sungei Kadut,Fair (Night),2024-03-15,00:59:47,11
Tampines,Fair (Night),2024-03-15,00:59:47,37
Tanglin,Fair (Night),2024-03-15,00:59:47,13
Tengah,Fair (Night),2024-03-15,00:59:47,4
Toa Payoh,Fair (Night),2024-03-15,00:59:47,32
Woodlands,Fair (Night),2024-03-15,00:59:47,36
Yishun,Fair (Night),2024-03-15,00:59:47,29
Ang Mo Kio,Fair (Night),2024-03-15,01:14:48,42
Bedok,Fair (Night),2024-03-15,01:14:48,57
Bishan,Fair (Night),2024-03-15,01:14:48,25
Boon Lay,Fair (Night),2024-03-15,01:14:48,2
Bukit Batok,Fair (Night),2024-03-15,01:14:48,45
Bukit Merah,Fair (Night),2024-03-15,01:14:48,56
Bukit Panjang,Fair (Night),2024-03-15,01:14:48,30
Bukit Timah,Fair (Night),2024-03-15,01:14:48,17
Central Water Catchment,Fair (Night),2024-03-15,01:14:48,5
Changi,Fair (Night),2024-03-15,01:14:48,214
Choa Chu Kang,Fair (Night),2024-03-15,01:14:48,40
City,Fair (Night),2024-03-15,01:14:48,141
Clementi,Fair (Night),2024-03-15,01:14:48,34
Geylang,Fair (Night),2024-03-15,01:14:48,86
Hougang,Fair (Night),2024-03-15,01:14:48,36
Jalan Bahar,Fair (Night),2024-03-15,01:14:48,1
Jurong East,Fair (Night),2024-03-15,01:14:48,34
Jurong West,Fair (Night),2024-03-15,01:14:48,43
Kallang,Fair (Night),2024-03-15,01:14:48,71
Mandai,Fair (Night),2024-03-15,01:14:48,7
Marine Parade,Fair (Night),2024-03-15,01:14:48,11
Novena,Fair (Night),2024-03-15,01:14:48,18
Pasir Ris,Fair (Night),2024-03-15,01:14:48,40
Paya Lebar,Fair (Night),2024-03-15,01:14:48,20
Pioneer,Fair (Night),2024-03-15,01:14:48,7
Pulau Ubin,Fair (Night),2024-03-15,01:14:48,2
Punggol,Fair (Night),2024-03-15,01:14:48,36
Queenstown,Fair (Night),2024-03-15,01:14:48,35
Seletar,Fair (Night),2024-03-15,01:14:48,22
Sembawang,Fair (Night),2024-03-15,01:14:48,59
Sengkang,Fair (Night),2024-03-15,01:14:48,55
Sentosa,Fair (Night),2024-03-15,01:14:48,6
Serangoon,Fair (Night),2024-03-15,01:14:48,43
Sungei Kadut,Fair (Night),2024-03-15,01:14:48,29
Tampines,Fair (Night),2024-03-15,01:14:48,66
Tanglin,Fair (Night),2024-03-15,01:14:48,13
Tengah,Fair (Night),2024-03-15,01:14:48,8
Toa Payoh,Fair (Night),2024-03-15,01:14:48,54
Tuas,Fair (Night),2024-03-15,01:14:48,2
Woodlands,Fair (Night),2024-03-15,01:14:48,87
Yishun,Fair (Night),2024-03-15,01:14:48,63
Ang Mo Kio,Fair (Night),2024-03-15,01:29:49,35
Bedok,Fair (Night),2024-03-15,01:29:49,56
Bishan,Fair (Night),2024-03-15,01:29:49,21
Boon Lay,Fair (Night),2024-03-15,01:29:49,1
Bukit Batok,Fair (Night),2024-03-15,01:29:49,40
Bukit Merah,Fair (Night),2024-03-15,01:29:49,35
Bukit Panjang,Fair (Night),2024-03-15,01:29:49,25
Bukit Timah,Fair (Night),2024-03-15,01:29:49,16
Central Water Catchment,Fair (Night),2024-03-15,01:29:49,2
Changi,Fair (Night),2024-03-15,01:29:49,141
Choa Chu Kang,Fair (Night),2024-03-15,01:29:49,35
City,Fair (Night),2024-03-15,01:29:49,149
Clementi,Fair (Night),2024-03-15,01:29:49,30
Geylang,Fair (Night),2024-03-15,01:29:49,101
Hougang,Fair (Night),2024-03-15,01:29:49,34
Jalan Bahar,Fair (Night),2024-03-15,01:29:49,1
Jurong East,Fair (Night),2024-03-15,01:29:49,27
Jurong West,Fair (Night),2024-03-15,01:29:49,52
Kallang,Fair (Night),2024-03-15,01:29:49,81
Mandai,Fair (Night),2024-03-15,01:29:49,7
Marine Parade,Fair (Night),2024-03-15,01:29:49,10
Novena,Fair (Night),2024-03-15,01:29:49,14
Pasir Ris,Fair (Night),2024-03-15,01:29:49,32
Paya Lebar,Fair (Night),2024-03-15,01:29:49,11
Pioneer,Fair (Night),2024-03-15,01:29:49,5
Pulau Ubin,Fair (Night),2024-03-15,01:29:49,1
Punggol,Fair (Night),2024-03-15,01:29:49,35
Queenstown,Fair (Night),2024-03-15,01:29:49,32
Seletar,Fair (Night),2024-03-15,01:29:49,26
Sembawang,Fair (Night),2024-03-15,01:29:49,52
Sengkang,Fair (Night),2024-03-15,01:29:49,45
Sentosa,Fair (Night),2024-03-15,01:29:49,10
Serangoon,Fair (Night),2024-03-15,01:29:49,66
Sungei Kadut,Fair (Night),2024-03-15,01:29:49,25
Tampines,Fair (Night),2024-03-15,01:29:49,57
Tanglin,Fair (Night),2024-03-15,01:29:49,17
Tengah,Fair (Night),2024-03-15,01:29:49,4
Toa Payoh,Fair (Night),2024-03-15,01:29:49,54
Tuas,Fair (Night),2024-03-15,01:29:49,2
Woodlands,Fair (Night),2024-03-15,01:29:49,67
Yishun,Fair (Night),2024-03-15,01:29:49,46
Ang Mo Kio,Fair (Night),2024-03-15,01:44:50,15
Bedok,Fair (Night),2024-03-15,01:44:50,52
Bishan,Fair (Night),2024-03-15,01:44:50,14
Boon Lay,Fair (Night),2024-03-15,01:44:50,3
Bukit Batok,Fair (Night),2024-03-15,01:44:50,37
Bukit Merah,Fair (Night),2024-03-15,01:44:50,31
Bukit Panjang,Fair (Night),2024-03-15,01:44:50,20
Bukit Timah,Fair (Night),2024-03-15,01:44:50,23
Changi,Fair (Night),2024-03-15,01:44:50,132
Choa Chu Kang,Fair (Night),2024-03-15,01:44:50,18
City,Fair (Night),2024-03-15,01:44:50,125
Clementi,Fair (Night),2024-03-15,01:44:50,32
Geylang,Fair (Night),2024-03-15,01:44:50,75
Hougang,Fair (Night),2024-03-15,01:44:50,23
Jalan Bahar,Fair (Night),2024-03-15,01:44:50,2
Jurong East,Fair (Night),2024-03-15,01:44:50,24
Jurong West,Fair (Night),2024-03-15,01:44:50,33
Kallang,Fair (Night),2024-03-15,01:44:50,89
Mandai,Fair (Night),2024-03-15,01:44:50,5
Marine Parade,Fair (Night),2024-03-15,01:44:50,5
Novena,Fair (Night),2024-03-15,01:44:50,24
Pasir Ris,Fair (Night),2024-03-15,01:44:50,24
Paya Lebar,Fair (Night),2024-03-15,01:44:50,14
Pioneer,Fair (Night),2024-03-15,01:44:50,5
Pulau Ubin,Fair (Night),2024-03-15,01:44:50,1
Punggol,Fair (Night),2024-03-15,01:44:50,26
Queenstown,Fair (Night),2024-03-15,01:44:50,27
Seletar,Fair (Night),2024-03-15,01:44:50,14
Sembawang,Fair (Night),2024-03-15,01:44:50,30
Sengkang,Fair (Night),2024-03-15,01:44:50,36
Sentosa,Fair (Night),2024-03-15,01:44:50,16
Serangoon,Fair (Night),2024-03-15,01:44:50,31
Sungei Kadut,Fair (Night),2024-03-15,01:44:50,12
Tampines,Fair (Night),2024-03-15,01:44:50,65
Tanglin,Fair (Night),2024-03-15,01:44:50,10
Tengah,Fair (Night),2024-03-15,01:44:50,4
Toa Payoh,Fair (Night),2024-03-15,01:44:50,47
Tuas,Fair (Night),2024-03-15,01:44:50,2
Woodlands,Fair (Night),2024-03-15,01:44:50,45
Yishun,Fair (Night),2024-03-15,01:44:50,38
Ang Mo Kio,Fair (Night),2024-03-15,01:59:50,42
Bedok,Fair (Night),2024-03-15,01:59:50,68
Bishan,Fair (Night),2024-03-15,01:59:50,17
Boon Lay,Fair (Night),2024-03-15,01:59:50,3
Bukit Batok,Fair (Night),2024-03-15,01:59:50,44
Bukit Merah,Fair (Night),2024-03-15,01:59:50,49
Bukit Panjang,Fair (Night),2024-03-15,01:59:50,39
Bukit Timah,Fair (Night),2024-03-15,01:59:50,25
Central Water Catchment,Fair (Night),2024-03-15,01:59:50,1
Changi,Fair (Night),2024-03-15,01:59:50,151
Choa Chu Kang,Fair (Night),2024-03-15,01:59:50,39
City,Fair (Night),2024-03-15,01:59:50,151
Clementi,Fair (Night),2024-03-15,01:59:50,35
Geylang,Fair (Night),2024-03-15,01:59:50,116
Hougang,Fair (Night),2024-03-15,01:59:50,36
Jalan Bahar,Fair (Night),2024-03-15,01:59:50,2
Jurong East,Fair (Night),2024-03-15,01:59:50,21
Jurong West,Fair (Night),2024-03-15,01:59:50,47
Kallang,Fair (Night),2024-03-15,01:59:50,100
Mandai,Fair (Night),2024-03-15,01:59:50,7
Marine Parade,Fair (Night),2024-03-15,01:59:50,8
Novena,Fair (Night),2024-03-15,01:59:50,26
Pasir Ris,Fair (Night),2024-03-15,01:59:50,46
Paya Lebar,Fair (Night),2024-03-15,01:59:50,11
Pioneer,Fair (Night),2024-03-15,01:59:50,6
Pulau Ubin,Fair (Night),2024-03-15,01:59:50,1
Punggol,Fair (Night),2024-03-15,01:59:50,31
Queenstown,Fair (Night),2024-03-15,01:59:50,28
Seletar,Fair (Night),2024-03-15,01:59:50,17
Sembawang,Fair (Night),2024-03-15,01:59:50,48
Sengkang,Fair (Night),2024-03-15,01:59:50,49
Sentosa,Fair (Night),2024-03-15,01:59:50,14
Serangoon,Fair (Night),2024-03-15,01:59:50,49
Sungei Kadut,Fair (Night),2024-03-15,01:59:50,26
Tampines,Fair (Night),2024-03-15,01:59:50,63
Tanglin,Fair (Night),2024-03-15,01:59:50,19
Tengah,Fair (Night),2024-03-15,01:59:50,1
Toa Payoh,Fair (Night),2024-03-15,01:59:50,51
Woodlands,Fair (Night),2024-03-15,01:59:50,72
Yishun,Fair (Night),2024-03-15,01:59:50,44
Ang Mo Kio,Fair (Night),2024-03-15,02:14:51,33
Bedok,Fair (Night),2024-03-15,02:14:51,59
Bishan,Fair (Night),2024-03-15,02:14:51,24
Boon Lay,Fair (Night),2024-03-15,02:14:51,2
Bukit Batok,Fair (Night),2024-03-15,02:14:51,42
Bukit Merah,Fair (Night),2024-03-15,02:14:51,47
Bukit Panjang,Fair (Night),2024-03-15,02:14:51,25
Bukit Timah,Fair (Night),2024-03-15,02:14:51,21
Changi,Fair (Night),2024-03-15,02:14:51,185
Choa Chu Kang,Fair (Night),2024-03-15,02:14:51,46
City,Fair (Night),2024-03-15,02:14:51,157
Clementi,Fair (Night),2024-03-15,02:14:51,37
Geylang,Fair (Night),2024-03-15,02:14:51,104
Hougang,Fair (Night),2024-03-15,02:14:51,29
Jalan Bahar,Fair (Night),2024-03-15,02:14:51,2
Jurong East,Fair (Night),2024-03-15,02:14:51,24
Jurong West,Fair (Night),2024-03-15,02:14:51,46
Kallang,Fair (Night),2024-03-15,02:14:51,104
Mandai,Fair (Night),2024-03-15,02:14:51,9
Marine Parade,Fair (Night),2024-03-15,02:14:51,9
Novena,Fair (Night),2024-03-15,02:14:51,14
Pasir Ris,Fair (Night),2024-03-15,02:14:51,38
Paya Lebar,Fair (Night),2024-03-15,02:14:51,14
Pioneer,Fair (Night),2024-03-15,02:14:51,6
Pulau Ubin,Fair (Night),2024-03-15,02:14:51,1
Punggol,Fair (Night),2024-03-15,02:14:51,33
Queenstown,Fair (Night),2024-03-15,02:14:51,22
Seletar,Fair (Night),2024-03-15,02:14:51,15
Sembawang,Fair (Night),2024-03-15,02:14:51,58
Sengkang,Fair (Night),2024-03-15,02:14:51,47
Sentosa,Fair (Night),2024-03-15,02:14:51,11
Serangoon,Fair (Night),2024-03-15,02:14:51,41
Sungei Kadut,Fair (Night),2024-03-15,02:14:51,15
Tampines,Fair (Night),2024-03-15,02:14:51,70
Tanglin,Fair (Night),2024-03-15,02:14:51,13
Tengah,Fair (Night),2024-03-15,02:14:51,4
Toa Payoh,Fair (Night),2024-03-15,02:14:51,53
Tuas,Fair (Night),2024-03-15,02:14:51,1
Woodlands,Fair (Night),2024-03-15,02:14:51,78
Yishun,Fair (Night),2024-03-15,02:14:51,46
Ang Mo Kio,Fair (Night),2024-03-15,02:29:52,37
Bedok,Fair (Night),2024-03-15,02:29:52,53
Bishan,Fair (Night),2024-03-15,02:29:52,19
Boon Lay,Fair (Night),2024-03-15,02:29:52,1
Bukit Batok,Fair (Night),2024-03-15,02:29:52,44
Bukit Merah,Fair (Night),2024-03-15,02:29:52,49
Bukit Panjang,Fair (Night),2024-03-15,02:29:52,22
Bukit Timah,Fair (Night),2024-03-15,02:29:52,21
Changi,Fair (Night),2024-03-15,02:29:52,155
Choa Chu Kang,Fair (Night),2024-03-15,02:29:52,30
City,Fair (Night),2024-03-15,02:29:52,163
Clementi,Fair (Night),2024-03-15,02:29:52,40
Geylang,Fair (Night),2024-03-15,02:29:52,97
Hougang,Fair (Night),2024-03-15,02:29:52,31
Jalan Bahar,Fair (Night),2024-03-15,02:29:52,2
Jurong East,Fair (Night),2024-03-15,02:29:52,22
Jurong West,Fair (Night),2024-03-15,02:29:52,48
Kallang,Fair (Night),2024-03-15,02:29:52,111
Mandai,Fair (Night),2024-03-15,02:29:52,3
Marine Parade,Fair (Night),2024-03-15,02:29:52,7
Novena,Fair (Night),2024-03-15,02:29:52,21
Pasir Ris,Fair (Night),2024-03-15,02:29:52,36
Paya Lebar,Fair (Night),2024-03-15,02:29:52,13
Pioneer,Fair (Night),2024-03-15,02:29:52,7
Pulau Ubin,Fair (Night),2024-03-15,02:29:52,1
Punggol,Fair (Night),2024-03-15,02:29:52,32
Queenstown,Fair (Night),2024-03-15,02:29:52,17
Seletar,Fair (Night),2024-03-15,02:29:52,16
Sembawang,Fair (Night),2024-03-15,02:29:52,51
Sengkang,Fair (Night),2024-03-15,02:29:52,43
Sentosa,Fair (Night),2024-03-15,02:29:52,12
Serangoon,Fair (Night),2024-03-15,02:29:52,48
Sungei Kadut,Fair (Night),2024-03-15,02:29:52,25
Tampines,Fair (Night),2024-03-15,02:29:52,55
Tanglin,Fair (Night),2024-03-15,02:29:52,15
Toa Payoh,Fair (Night),2024-03-15,02:29:52,49
Tuas,Fair (Night),2024-03-15,02:29:52,3
Woodlands,Fair (Night),2024-03-15,02:29:52,83
Yishun,Fair (Night),2024-03-15,02:29:52,46
Ang Mo Kio,Fair (Night),2024-03-15,02:44:53,33
Bedok,Fair (Night),2024-03-15,02:44:53,47
Bishan,Fair (Night),2024-03-15,02:44:53,17
Bukit Batok,Fair (Night),2024-03-15,02:44:53,44
Bukit Merah,Fair (Night),2024-03-15,02:44:53,41
Bukit Panjang,Fair (Night),2024-03-15,02:44:53,21
Bukit Timah,Fair (Night),2024-03-15,02:44:53,11
Central Water Catchment,Fair (Night),2024-03-15,02:44:53,1
Changi,Fair (Night),2024-03-15,02:44:53,173
Choa Chu Kang,Fair (Night),2024-03-15,02:44:53,32
City,Fair (Night),2024-03-15,02:44:53,142
Clementi,Fair (Night),2024-03-15,02:44:53,27
Geylang,Fair (Night),2024-03-15,02:44:53,80
Hougang,Fair (Night),2024-03-15,02:44:53,21
Jurong East,Fair (Night),2024-03-15,02:44:53,20
Jurong West,Fair (Night),2024-03-15,02:44:53,35
Kallang,Fair (Night),2024-03-15,02:44:53,95
Mandai,Fair (Night),2024-03-15,02:44:53,6
Marine Parade,Fair (Night),2024-03-15,02:44:53,9
Novena,Fair (Night),2024-03-15,02:44:53,12
Pasir Ris,Fair (Night),2024-03-15,02:44:53,49
Paya Lebar,Fair (Night),2024-03-15,02:44:53,7
Pioneer,Fair (Night),2024-03-15,02:44:53,6
Punggol,Fair (Night),2024-03-15,02:44:53,42
Queenstown,Fair (Night),2024-03-15,02:44:53,13
Seletar,Fair (Night),2024-03-15,02:44:53,16
Sembawang,Fair (Night),2024-03-15,02:44:53,41
Sengkang,Fair (Night),2024-03-15,02:44:53,41
Sentosa,Fair (Night),2024-03-15,02:44:53,9
Serangoon,Fair (Night),2024-03-15,02:44:53,46
Sungei Kadut,Fair (Night),2024-03-15,02:44:53,19
Tampines,Fair (Night),2024-03-15,02:44:53,57
Tanglin,Fair (Night),2024-03-15,02:44:53,16
Tengah,Fair (Night),2024-03-15,02:44:53,1
Toa Payoh,Fair (Night),2024-03-15,02:44:53,59
Tuas,Fair (Night),2024-03-15,02:44:53,3
Woodlands,Fair (Night),2024-03-15,02:44:53,70
Yishun,Fair (Night),2024-03-15,02:44:53,50
Ang Mo Kio,Fair (Night),2024-03-15,02:59:23,33
Bedok,Fair (Night),2024-03-15,02:59:23,47
Bishan,Fair (Night),2024-03-15,02:59:23,12
Boon Lay,Fair (Night),2024-03-15,02:59:23,1
Bukit Batok,Fair (Night),2024-03-15,02:59:23,34
Bukit Merah,Fair (Night),2024-03-15,02:59:23,37
Bukit Panjang,Fair (Night),2024-03-15,02:59:23,24
Bukit Timah,Fair (Night),2024-03-15,02:59:23,14
Central Water Catchment,Fair (Night),2024-03-15,02:59:23,1
Changi,Fair (Night),2024-03-15,02:59:23,156
Choa Chu Kang,Fair (Night),2024-03-15,02:59:23,29
City,Fair (Night),2024-03-15,02:59:23,106
Clementi,Fair (Night),2024-03-15,02:59:23,22
Geylang,Fair (Night),2024-03-15,02:59:23,85
Hougang,Fair (Night),2024-03-15,02:59:23,20
Jurong East,Fair (Night),2024-03-15,02:59:23,14
Jurong West,Fair (Night),2024-03-15,02:59:23,42
Kallang,Fair (Night),2024-03-15,02:59:23,94
Mandai,Fair (Night),2024-03-15,02:59:23,3
Marine Parade,Fair (Night),2024-03-15,02:59:23,5
Novena,Fair (Night),2024-03-15,02:59:23,20
Pasir Ris,Fair (Night),2024-03-15,02:59:23,37
Paya Lebar,Fair (Night),2024-03-15,02:59:23,8
Pioneer,Fair (Night),2024-03-15,02:59:23,7
Punggol,Fair (Night),2024-03-15,02:59:23,44
Queenstown,Fair (Night),2024-03-15,02:59:23,13
Seletar,Fair (Night),2024-03-15,02:59:23,15
Sembawang,Fair (Night),2024-03-15,02:59:23,44
Sengkang,Fair (Night),2024-03-15,02:59:23,40
Sentosa,Fair (Night),2024-03-15,02:59:23,7
Serangoon,Fair (Night),2024-03-15,02:59:23,38
Sungei Kadut,Fair (Night),2024-03-15,02:59:23,23
Tampines,Fair (Night),2024-03-15,02:59:23,56
Tanglin,Fair (Night),2024-03-15,02:59:23,13
Tengah,Fair (Night),2024-03-15,02:59:23,2
Toa Payoh,Fair (Night),2024-03-15,02:59:23,53
Tuas,Fair (Night),2024-03-15,02:59:23,2
Woodlands,Fair (Night),2024-03-15,02:59:23,77
Yishun,Fair (Night),2024-03-15,02:59:23,45
Ang Mo Kio,Fair (Night),2024-03-15,03:14:24,28
Bedok,Fair (Night),2024-03-15,03:14:24,44
Bishan,Fair (Night),2024-03-15,03:14:24,15
Bukit Batok,Fair (Night),2024-03-15,03:14:24,34
Bukit Merah,Fair (Night),2024-03-15,03:14:24,31
Bukit Panjang,Fair (Night),2024-03-15,03:14:24,19
Bukit Timah,Fair (Night),2024-03-15,03:14:24,14
Central Water Catchment,Fair (Night),2024-03-15,03:14:24,1
Changi,Fair (Night),2024-03-15,03:14:24,134
Choa Chu Kang,Fair (Night),2024-03-15,03:14:24,32
City,Fair (Night),2024-03-15,03:14:24,73
Clementi,Fair (Night),2024-03-15,03:14:24,25
